planet_name,planet_radius(R_earth),planet_mass(M_earth),orbital_period(days),transit_duration(hours),star_name,star_radius(R_sun),star_mass(M_sun),star_Teff(K),star_Kmag,TESS Disposition,Source,Detection,Sectors
106.01,16.3869,317.0,2.8493825,3567,38846515,1.77,1.44,6900.0,10.3157,KP,qlp-s69-ffi,SPOC,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69"
114.01,10.5135877321783,78.37,3.28878982693448,3.43677173022605,25155310,1.24175000190735,1.01,5800.0,10.6103,KP,spoc-s01-s69-b0A-KP,SPOC,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,63,64,65,66,67,68,69"
1628.01,18.0537588202043,317.0,2.14363640030623,3.15393487302238,284475976,1.77060997486115,1.17,6148.0,11.1541,KP,spoc-s14-s55-b0A-KP,QLP,"23,26,40,41,53,54,55,56"
