TIC,TOI,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
33521996,468.01,SPOC,3.3252702901126,2.0538143955895,11.503900623645,0.59680098295212,"6,32,33"
315002523,574.01,SPOC,3.3023907304963,5.1743598728444,17.807991243177,1.9103100299835,"8,9,35,62"
56399553,4623.01,SPOC,3.2588110294925,2.2154690306365,12.868443177114,0.81711399555206,"43,44"
53728859,6013.01,SPOC,3.2573898016453,3.1400826329937,12.356936107674,1.0461299419403,57
198108326,1844.01,SPOC,3.2130578,2.1690,11.0975,0.7,"16,23,49,50"
6663331,1068.01,SPOC,3.180362,2.111521,13.446487,0.92,13
52689469,2502.01,SPOC,3.141382453127,4.4361226003819,13.07086401534,1.7340899705887,"33,34"
48217457,4454.01,SPOC,3.1208396239679,2.4052780228112,16.210825429511,1.09921002388,"40,41,53,54,55"
439842788,4521.01,SPOC,3.0717181638209,1.5983426156333,12.005494862319,0.84839397668839,"42,55"
448589187,2642.01,SPOC,3.0652926,2.6060,13.3524,1.22,"9,36"
398943781,780.01,SPOC,3.0524018,2.4830,13.7594,0.88,"10,37"
289793076,108.01,SPOC,3.0440540665342,2.598457480183,12.108679940721,0.80986797809601,"1,28"
461239485,5672.01,SPOC,3.039085065931,1.6455075875982,10.914731710381,0.86467301845551,51
120757718,1236.01,SPOC,3.0300714582668,2.5466671376467,12.752989173481,0.85736900568008,"14,40,41,53,54"
139104940,6001.01,SPOC,3.0039010104135,3.8750476750494,16.720862918153,1.5063300132752,"41,54,55"
137881699,1781.01,SPOC,2.9720774,4.41,15.6498,1.95,"21,48"
190998418,1463.01,SPOC,2.8791022861389,2.7497683357845,12.092050646592,1.114599943161,"17,57"
38846515,106.01,SPOC,2.8493825,3.5670,16.3869,1.77,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63,64,65,67,68,69"
175772482,5673.01,SPOC,2.8386215063735,2.3326470166865,12.900775145105,1.0257300138473,51
27990610,4482.01,SPOC,2.8164978773127,2.6896664823471,14.489417402772,1.0130399465561,"41,54,55"
204317710,255.01,SPOC,2.8126484706733,2.8737522177798,12.065800620875,1.0095700025559,"2,29"
84339983,4624.01,SPOC,2.7908257668743,2.2330145922594,16.736990712451,1.4707000255585,"43,44,45"
76419763,2135.01,SPOC,2.7884722659922,2.9462463999989,13.943264469001,1.1295599937439,"26,40,53,54"
32487566,2386.01,SPOC,2.7567394874288,2.3808564736631,13.804466129655,1.28427,29
436875934,4514.01,SPOC,2.7535993,2.1410,10.7107,0.86,"18,42,43,44,58"
240681314,1477.01,SPOC,2.7324809234094,2.2139340835675,18.278537490078,1.6127099990845,"17,57"
427332229,4523.01,SPOC,2.7186256,2.1290,12.4543,1.03,"42,43"
399402994,5802.01,SPOC,2.7161298215883,3.5299033351722,14.554165934844,1.1867799758911,54
398895470,5793.01,SPOC,2.6940347751924,4.1073511966615,18.251375476938,1.650820016861,54
75262942,4469.01,SPOC,2.6634153918688,1.842968763625,13.685736717506,0.70136898756027,"41,54"
192826603,551.01,SPOC,2.6473051249427,1.2112809624231,10.613448079568,0.56786602735519,"5,6,32,33"
453064665,6043.01,SPOC,2.6452120854712,3.0559835737624,12.780365744846,1.2405999898911,59
293612446,2466.01,SPOC,2.6266983,4.0870,18.7969,1.77,"5,32,43,71"
283419843,5818.01,SPOC,2.6052673672121,4.2452100139334,17.854369920555,1.6697800159454,55
57984377,6014.01,SPOC,2.5199145567009,3.7121362923371,17.700193190638,1.564190030098,57
291751373,6017.01,SPOC,2.5079176545719,3.0652269498951,14.717642984167,1.7272499799728,57
388104525,112.01,SPOC,2.4997995981029,2.865171019079,13.851609281573,1.1373200416565,"1,2,3,4,7,11,27,28,29,30,31,34,37,61,62,63,64,65"
466840711,839.01,SPOC,2.4855806353704,3.0016362134328,36.509125370379,1.5994399785995,"10,11,37"
12862099,259.01,SPOC,2.4238225835334,2.2484014632774,12.25627190254,0.93,3
444013020,2547.01,SPOC,2.3114199,2.5850,14.2928,1.07,"34,44,45,46"
25375553,143.01,SPOC,2.3109688983569,3.4303820702944,17.304280003933,1.9541100263596,"1,28,68"
63189173,5093.01,SPOC,2.2983835,1.93,15.2047,0.79,"44,45,46"
467971286,2204.01,SPOC,2.2250513813804,2.3678870525181,10.092618912458,0.883426,27
424865156,1265.01,SPOC,2.2046665,3.9767263189703,16.819247843133,1.9935599565506,"14,15,40,41,54,55,74,75"
92449173,6719.01,SPOC,2.1764874697474,3.440372280606,14.184839047861,1.5623300075531,68
7088246,1065.01,SPOC,2.160344,1.828854,22.503541,1.2,13
374530847,5797.01,SPOC,2.1521630190873,1.7531965994512,11.999442722245,0.85466998815536,54
292152376,6031.01,SPOC,2.1499907203724,3.102696828363,20.636494430129,1.2630399465561,58
355703913,111.01,SPOC,2.1061568796345,1.4688934498723,13.086872039103,0.94069701433182,"1,2,28,68"
291685334,6021.01,SPOC,2.0319883448888,3.4937462781163,17.716397879772,1.56523001194,57
104024556,748.01,SPOC,2.0219583,2.6810,20.1548,1.94,"10,37,64"
137402055,4570.01,SPOC,1.9737719355324,2.1771701432353,14.278397402464,0.69797098636627,"40,41,54,55"
37168957,545.01,SPOC,1.9000862473896,2.3058232096625,15.049620777326,0.93402802944183,"6,33"
67646988,1779.01,SPOC,1.8817191,1.2360,10.9698,0.31,"21,48"
271042217,4428.01,SPOC,1.8555745374796,2.3121742498216,14.895180905699,1.4095900058746,"40,54"
237320326,2414.01,SPOC,1.7771108792508,1.5669528365759,12.908463490962,0.97906,28
381856447,2206.01,SPOC,1.7690121045292,1.0172953319057,10.504559922328,0.701795,27
209752908,4483.01,SPOC,1.7522170151112,2.1714375164201,20.317765646066,0.74071198701858,"41,54"
245392284,6030.01,SPOC,1.7442830504736,2.19283721045,15.389819490471,1.600800037384,58
391958006,5796.01,SPOC,1.7430143346615,2.2872100851582,16.922709684231,0.93774098157883,54
38087018,5138.01,SPOC,1.7290233608562,1.6887274076602,11.89808734181,0.76649498939514,"45,46"
158170594,1240.01,SPOC,1.7208554509494,1.8346409147423,13.464631410049,1.3340200185776,"14,26,40,41,53,55"
134537478,501.01,SPOC,1.7100122,1.79,17.2191,1.51,"7,33,34,61"
99834717,1780.01,SPOC,1.7063264,1.3590,10.1999,0.9,"14,21,41,47,48"
124778445,2503.01,SPOC,1.6751567572551,2.2718193990122,13.236656301591,0.963518,33
466390120,5822.01,SPOC,1.5487245203939,2.8258531172169,14.506178014798,1.4102100133896,55
138644215,4455.01,SPOC,1.5449333628652,1.1043458998814,10.701177701171,1.4874000549316,"40,41,54,55"
273874849,5794.01,SPOC,1.4857147966026,2.3275851741748,14.858544775728,1.0103399753571,"41,54,56"
236887394,1465.01,SPOC,1.4200248,1.4310,12.5242,0.77,"15,16,17,18,21,24,25,41,48,51,55"
308172249,2139.01,SPOC,1.4013784006976,1.7042714748865,13.997747762379,0.9349769949913,"26,52,53"
77031414,241.01,SPOC,1.3866519041345,2.3006751323871,12.98116186389,1.0766099691391,"2,29"
402026209,232.01,SPOC,1.3382313580068,2.1560676107495,14.854260201302,0.89497399330139,"2,28,29,69"
373693175,1810.01,SPOC,1.3273482,2.0830,15.4709,1.07,"22,49"
116264089,2126.01,SPOC,1.3061880169007,1.4177745633918,16.758882990519,0.82018101215363,"25,26,40,52,53"
22529346,495.01,SPOC,1.2749246,2.7830,22.0328,1.52,"7,33,34,61"
305243225,5798.01,SPOC,1.2129138542488,2.1862784814733,14.104957706447,1.1517599821091,"54,55"
86396382,1725.01,SPOC,1.0914167,2.7740,23.9976,1.75,"20,43,44,45"
236445129,1282.01,SPOC,0.96899271754203,2.5496309015736,17.133125818089,1.4139800071716,"15,41,55"
