TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
157230659,6278.01,KP,KP,SPOC,7.5337657024088,5.5843836086928,10.611118960395,1.5290499925613,63
120317234,5999.01,KP,KP,SPOC,6.8834027,1.92,2.87691,1.23,"14,26,40,41,53,54,74"
158561566,1267.01,KP,KP,SPOC,6.7900981113413,6.0786576276485,9.754848091183,2.0006799697876,"14,15,26,40,41,53,54,55"
283722336,1469.02,KP,KP,SPOC,6.7650278,1444,1.27931,0.75,"17,24,57"
73228647,755.02,KP,KP,SPOC,6.7418795627991,1.371085679909,2.1138481681597,0.98664897680283,"10,37,64"
120960812,1237.02,KP,KP,SPOC,6.2387550133455,3.6178567252982,2.9728283438762,1.4776799678802,"14,40,41,53,54"
411839167,2461.01,KP,KP,SPOC,6.1802675,3.868,13.2741,1.74,"32,43,44,71"
121731834,6003.01,KP,KP,SPOC,5.8599392219211,4.0842391179256,2.9189613927449,1.5091999769211,"14,40,41,54,55"
21744120,2127.01,KP,KP,SPOC,5.5080682174644,2.6399994701419,10.729979500394,0.740113,"25,26"
278348461,1257.01,KP,KP,SPOC,5.4526479,3.401,14.5502,1.57,"14,41,54,55"
417676622,1290.01,KP,KP,SPOC,5.3987396,3.12,2.19583,1.26,"14,15,40,41,54,55,74"
271168962,828.01,KP,KP,SPOC,5.3220505095485,3.8815964207395,17.103808709754,1.9575699567795,"11,64"
176220787,2380.01,KP,KP,SPOC,5.2153551,5.544704700906,17.655978739387,2.3901400566101,"29,42,70"
330687113,5089.01,KP,KP,SPOC,5.1138588,2361,5.83713,1.51,"44,45,46"
268604331,4466.01,KP,KP,SPOC,5.0141991086608,4.5606871296246,13.491172810855,1.6967500448227,"14,15,41,54,55"
320798691,2130.01,KP,KP,SPOC,5.0052605034024,4.9057646228405,13.631452758902,1.4670100212097,"26,40,53"
248075138,769.01,KP,KP,SPOC,4.9816784,2733,10.7801,0.79,"10,37"
286865921,773.01,KP,KP,SPOC,4.971298,3283,12.1956,1.09,"10,37"
100566492,2198.01,KP,KP,SPOC,4.9549631089896,5.9565174468219,18.450468948967,1.99207,27
389352124,2197.01,KP,KP,SPOC,4.954648,3639,13.0889,1.47,"27,67"
27774415,4456.01,KP,KP,SPOC,4.9427985335015,3.3153827577537,15.320496072536,1.325670003891,"40,41,54,55"
121660904,4431.01,KP,KP,SPOC,4.8854843850569,5.2333984625333,18.175955703371,2.0812199115753,"40,41,54,55"
55092869,664.01,KP,KP,SPOC,4.73592318960559,7.0819611648289,13.575258919242,2.7871499061584,"9,62"
27635334,6967.01,KP,KP,SPOC,4.7335575051467,3.2089234481436,5.3852666290978,1.7589600086212,"44,45,46,71,72"
137151335,5979.01,KP,KP,SPOC,4.7267257,3014,1.45952,0.92,"14,40,41,54,55,74"
270468559,571.01,KP,KP,SPOC,4.6418368,3721,12.9164,1.41,"8,34,44,45,46"
101721385,2129.01,KP,KP,SPOC,4.627664,2306,14.3694,1.55,"25,26,52,53"
347329162,1809.01,KP,KP,SPOC,4.6170519,3555,12.4681,1.11,"22,49"
201604954,1066.01,KP,KP,SPOC,4.606184,3.121643,12.962219,1.07,13
293457754,4621.01,KP,KP,SPOC,4.5195119703311,3.145779876935,14.099184799305,1.0320999622345,"42,43"
199671901,5959.01,KP,KP,SPOC,4.4571443713053,6.1089711437671,18.031155987462,2.0946500301361,"56,57"
269269546,4488.01,KP,KP,SPOC,4.4541700314081,2.271429968899,13.801721797517,0.92208701372147,"41,54,55"
149603524,102.01,KP,KP,SPOC,4.4119378,3.65,15.4706,1.21,"1,2,3,4,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39,61,62,64,65,68"
168281028,6269.01,KP,KP,SPOC,4.3744613803651,3.0484494414978,6.4637765204215,1.115630030632,62
436478932,5963.01,KP,KP,SPOC,4.3226229418578,3.3699024669902,15.154694287394,1.3475699424744,56
437242640,744.01,KP,KP,SPOC,4.3176859,1822,13.3926,1.11,"9,36,63"
288246496,6015.01,KP,KP,SPOC,4.3048290138949,3.5311266334049,13.839540234604,1.5128400325775,57
168699373,1841.01,KP,KP,SPOC,4.3011975,2982,15.3684,1.03,"16,23,49,50"
420779000,5632.01,KP,KP,SPOC,4.2342153119906,2.5166257419024,7.0962993810264,0.85977798700333,50
158388163,4445.01,KP,KP,SPOC,4.2253498253575,2.7695297378725,8.8893196604141,1.031219959259,"40,41,53,55"
9155187,5373.01,KP,KP,SPOC,4.1878374782312,2.9905903597651,11.76950647634,1.1000699996948,47
9725627,239.01,KP,KP,SPOC,4.1567863584057,3.9618075054152,9.7108657686796,1.3883099555969,"2,29,42"
17993892,1800.01,KP,KP,SPOC,4.1244833,3567,12.4249,1.26,"22,48"
231670397,104.01,KP,KP,SPOC,4.0872956,5.5861130474761,13.62377317646,2.2186698913574,"1,27,67"
164786087,4440.01,KP,KP,SPOC,4.0822893892111,3.2882556787492,,,"40,41,53,54,55"
181949561,5675.01,KP,KP,SPOC,4.0548695469509,2.8063408720323,15.544686359695,1.0134199857712,51
281909674,534.01,KP,KP,SPOC,4.0350444384329,2.8526162763938,12.53306061678,1.137069940567,"6,33"
9443323,6052.01,KP,KP,SPOC,4.0135700487779,4.1381201768449,14.954478881583,1.5301200151443,59
98669309,5173.01,KP,KP,SPOC,4.003577329939,2.0958153283014,12.962787852577,1.0849200487137,46
92352620,107.01,KP,KP,SPOC,3.9502008,4444,20.5357,1.71,"1,27,68"
371234684,1731.01,KP,KP,SPOC,3.9228042,3205,15.8493,1.3,"20,47"
459730973,5820.01,KP,KP,SPOC,3.9156848046704,3.5847759896779,16.708372910873,1.8382300138473,55
271354351,4426.01,KP,KP,SPOC,3.9051260405231,2.9136918725265,14.549943057444,0.9474750161171,"40,41,54"
375942197,5815.01,KP,KP,SPOC,3.8993831386464,5.1857346613628,15.263658181731,1.8622200489044,55
272366748,5824.01,KP,KP,SPOC,3.8555896898932,3.237964370373,13.965462183428,1.052680015564,"41,55"
377873569,4480.01,KP,KP,SPOC,3.8493845598361,2.6908269212109,16.808800078458,3.9119100570679,"41,54,55"
284326455,4618.01,KP,KP,SPOC,3.7998451,1428,13.2747,0.76,"43,44,45"
287563610,840.01,KP,KP,SPOC,3.7993182,2302,8.54839,0.97,"11,37"
122441491,4473.01,KP,KP,SPOC,3.7970075645224,2.525677819147,11.75575787827,0.83263099193573,"40,41,54,55"
425817867,6681.01,KP,KP,SPOC,3.778340119744,2.8296299895596,13.830537699425,0.86392199993134,67
159725995,4595.01,KP,KP,SPOC,3.7705864541407,3.9149764099662,15.822461965654,1.3818800449371,"40,41,54,55"
32949762,2464.01,KP,KP,SPOC,3.7684981,2727,12.5471,0.87,"6,32,33"
229047362,767.01,KP,KP,SPOC,3.764873,2.759996,13.95182,0.92,10
85593751,4516.01,KP,KP,SPOC,3.7224625949848,2.5956779729431,11.469485614228,0.82064002752304,"42,58"
61098812,1833.01,KP,KP,SPOC,3.6935996741677,4.4661849629298,17.008659148324,1.78076004982,"23,46,50"
147797743,6072.01,KP,KP,SPOC,3.6915589899042,2.7207580394596,14.724470805137,1.0878299474716,60
35022727,4530.01,KP,KP,SPOC,3.652821,2676,13.0049,0.91,"18,42,43,44"
311408969,2122.01,KP,KP,SPOC,3.5852283727341,3.0197224053807,14.543182858007,1.0672500133514,"25,26,52,53"
159098316,4475.01,KP,KP,SPOC,3.5787569854633,3.1806501533092,12.141604242483,1.0606199502945,"40,41,54,55"
368805700,5674.01,KP,KP,SPOC,3.5771890897944,3.0669978247034,13.507350579335,1.0635800361633,51
159742538,2124.01,KP,KP,SPOC,3.5539283440893,3.6341387898079,21.202807626713,2.0085198879242,"25,26,40,52,53"
14770122,5098.01,KP,KP,SPOC,3.5438893,3991,19.5349,1.75,"44,45,46"
122596693,4435.01,KP,KP,SPOC,3.5256535143873,2.5111798919497,12.121008578614,0.78376799821854,"40,41,54,55"
311133118,5676.01,KP,KP,SPOC,3.5061649416751,1.6009657991422,12.857619534674,0.77108597755432,"50,51"
434226736,5095.01,KP,KP,SPOC,3.4847528262488,0.71718127705738,3.1137985946145,0.29021599888802,44
