TIC,TOI,Disposition,Disposition,Detection,Period,Duration,Planet_Radius,Stellar_Radius,Sectors
234825296,536.01,KP,KP,SPOC,9.2432302936005,2.4045872240888,15.396505657171,1.299810051918,"6,33"
36440357,546.01,KP,KP,UNKNOWN,9.2016496415396,4.4317332963405,13.437395928532,1.1227099895477,"6,33"
422618449,6836.01,KP,KP,SPOC/QLP,9.100412,2181,2.59387,0.77,"42,7"
122785299,4592.01,KP,KP,SPOC,8.8849510858694,1.9958507020285,12.68384366274,0.97705399990082,"40,41,54"
366411016,5529.01,KP,KP,SPOC,8.865288608692,3.2904517724949,4.2853969416205,0.69743901491165,"34,44,45,46,61"
115524421,2064.01,KP,KP,QLP,8.8036803,2997,8.9006,0.94,"24,25,26,51,52"
63211674,4472.01,KP,KP,SPOC,8.6004516340461,8.9505209950206,14.548120994469,2.3108398914337,"40,41,54,55"
60286662,5162.01,KP,KP,QLP,8.5623265,3.18,7.63717,1.02,"44,45,46,71,72"
350293646,2548.01,KP,KP,SPOC,8.5234958,2444,12.0756,0.84,"34,61"
332022997,5123.02,KP,KP,QLP,8.4388359,2129,2.38569,0.74,"44,45,46"
366568760,5121.01,KP,KP,QLP,8.4071591,5002,10.1248,4.71,"7,44,45,46,61,72"
6892385,5164.01,KP,KP,SPOC/QLP,8.2669589,3328,3.44807,0.92,"44,45,46,71"
4610830,6833.01,KP,KP,QLP,8.2616616,2862,3.30997,0.86,"42,7"
435339847,4544.01,KP,KP,QLP,8.2000786,2393,2.41401,0.79,"5,42,43"
183532609,191.01,KP,KP,SPOC/QLP,8.1587261,4288,12.7393,1,"2,29,69"
159054620,5992.01,KP,KP,SPOC,8.0276820925063,2.9574257173161,11.980977040081,1.1277199983597,"40,41,53,54,55"
63283780,5994.01,KP,KP,SPOC,7.9726643712226,2.5395548903665,3.7927660951944,0.63749498128891,"40,41,54,55"
91051152,5969.01,KP,KP,SPOC,7.9192604527469,2.5053872855416,11.528526439784,0.75860798358917,56
281885301,5145.01,KP,KP,SPOC,7.9177855285975,3.1506390453111,6.5930785690451,0.84047597646713,"45,46,72"
123495874,2176.01,KP,KP,CTOI,7.8914271236757,4.2653155874695,12.929994158452,1.2799199819565,"14,26,40,41,54,55"
271431851,6081.01,KP,KP,SPOC,7.8864218249731,4.9429377785191,12.404829073243,1.5605100393295,"40,41,54,55"
158623531,246.01,KP,KP,UNKNOWN,7.8728936787037,3.759957832964,15.0953,1.26,"2,3,29"
165987272,1840.01,KP,KP,SPOC,7.8456075,5892,14.2866,1.65,"23,49"
399954349,4593.01,KP,KP,SPOC,7.8344688255299,3.1260802534137,3.7973353469731,0.73114597797394,"14,26,40,41,53,54,55"
44745133,1911.01,KP,KP,QLP,7.8181434,4.98,9.95177,1.64,"4,5,31"
175236511,5136.01,KP,KP,QLP,7.8092052,3393,2.70889,1.22,"44,45"
48506505,4467.01,KP,KP,SPOC,7.794215505913,0.97103111413734,4.9169842044124,0.89740300178528,"40,41,53,54,55"
157230659,6278.01,KP,KP,SPOC,7.5337657024088,5.5843836086928,10.611118960395,1.5290499925613,63
137903329,4485.01,KP,KP,SPOC,7.3405675147766,3.2557004003192,16.731704400909,1.4372800588608,"40,41,54,55"
262715204,4538.01,KP,KP,SPOC/QLP,7.1385672,2464,3.60516,0.77,"42,7"
127530399,822.01,KP,KP,UNKNOWN,7.133518,3006,10.9689,0.79,"11,38"
120317234,5999.01,KP,KP,SPOC,6.8834027,1.92,2.87691,1.23,"14,26,40,41,53,54,74"
158561566,1267.01,KP,KP,SPOC,6.7900981113413,6.0786576276485,9.754848091183,2.0006799697876,"14,15,26,40,41,53,54,55"
363548415,5168.01,KP,KP,QLP,6.7713411,2836,5.07965,0.89,"45,46,72"
283722336,1469.02,KP,KP,SPOC,6.7650278,1444,1.27931,0.75,"17,24,57"
73228647,755.02,KP,KP,SPOC,6.7418795627991,1.371085679909,2.1138481681597,0.98664897680283,"10,37,64"
49735922,6834.01,KP,KP,QLP,6.3392677,3.02,3.91968,0.93,"2,29,42,70"
352011875,5995.01,KP,KP,SPOC,6.2468813284887,9.0400019357441,15.681780596752,6.3787198066711,"14,26,40,41,53,55"
120960812,1237.02,KP,KP,SPOC,6.2387550133455,3.6178567252982,2.9728283438762,1.4776799678802,"14,40,41,53,54"
411839167,2461.01,KP,KP,SPOC,6.1802675,3868,13.2741,1.74,"32,43,44,71"
286923464,1271.01,KP,KP,SPOC/QLP,6.1349783,5661,13.1383,2.05,"15,16,22,49"
159951311,265.01,KP,KP,UNKNOWN,5.9242661324832,2.8894448884724,9.3440441625091,0.84667098522186,"3,4,30,31"
121731834,6003.01,KP,KP,SPOC,5.8599392219211,4.0842391179256,2.9189613927449,1.5091999769211,"14,40,41,54,55"
376939759,4532.01,KP,KP,SPOC/QLP,5.8176452,2577,11.6459,1.22,"42,43,70"
166836920,267.01,KP,KP,UNKNOWN,5.7525821706391,5.4013355411632,12.704264829523,1.7092700004578,"3,29,30"
61538902,752.01,KP,KP,UNKNOWN,5.7481343632827,2.6720120881523,13.23743470706,1.1278300285339,"10,37"
203214081,5097.01,KP,KP,SPOC/QLP,5.7459945,1185,2.06081,0.32,"44,45,46,72"
250707118,6028.01,KP,KP,SPOC,5.7238581930973,3.8545141351386,11.647075734545,1.2305200099945,58
429302040,1905.01,KP,KP,QLP,5.72226,2648,12.8433,0.73,10
39903405,2020.01,KP,KP,QLP,5.6334662028163,4.2342162100878,12.662990185483,1.703920006752,"24,25,51,52"
386259537,1932.01,KP,KP,QLP,5.6107737094617,6.3384834297225,18.370173557963,2.21327,"7,8,34"
349827430,1148.01,KP,KP,SPOC/QLP,5.5514888,4335,15.8043,1.55,"14,20,21,40,41,47,48,60,74,75"
158555987,4594.01,KP,KP,SPOC,5.5460810942284,2.7509711474897,10.083223926282,1.8893699645996,"14,40,41,53,54,55"
21744120,2127.01,KP,KP,SPOC,5.5080682174644,2.6399994701419,10.729979500394,0.740113,"25,26"
453789494,1907.01,KP,KP,QLP,5.4774433,5277,20.3433,2.09,"11,37,38"
278348461,1257.01,KP,KP,SPOC,5.4526479,3401,14.5502,1.57,"14,41,54,55"
437261733,1910.01,KP,KP,QLP,5.4161129,3385,13.3752,1.1,"9,36"
50712784,1912.01,KP,KP,QLP,5.4053583,4859,13.4237,1.59,"7,34"
417676622,1290.01,KP,KP,SPOC,5.3987396,3.12,2.19583,1.26,"14,15,40,41,54,55,74"
116156517,338.01,KP,KP,QLP,5.36777,4271,14.2607,1.72,"2,29"
271168962,828.01,KP,KP,SPOC,5.3220505095485,3.8815964207395,17.103808709754,1.9575699567795,"11,64"
176220787,2380.01,KP,KP,SPOC,5.2153551,5.544704700906,17.655978739387,2.3901400566101,"29,42,70"
7059054,5072.01,KP,KP,SPOC/QLP,5.185768,2356,7.50399,0.65,"44,45,46,71"
112099249,1921.01,KP,KP,QLP,5.17958,4524,14829,1.65,11
203214138,5081.01,KP,KP,SPOC/QLP,5.1699026,1972,9.23587,1.48,"44,45,46,72"
330687113,5089.01,KP,KP,SPOC,5.1138588,2361,5.83713,1.51,"44,45,46"
436575927,6977.01,KP,KP,QLP,5.0957983,1772,1.92318,0.7,"43,44,70,71"
116242971,2125.01,KP,KP,QLP,5.0316308667072,5.6042382062487,16.490128305409,2.1627900600433,"25,26,40,53"
424435940,1627.01,KP,KP,QLP,5.0172146023149,3.7363300747899,13.547801894484,1.1001299619675,"25,26,40,52,53,54"
